,quantidade_quadrante_a,quantidade_quadrante_b,quantidade_quadrante_c,quantidade_quadrante_d,queima_total
0,614,1080,8059,7996,17749
1,614,1080,8059,7996,17749
2,553,813,7862,8151,17379
3,349,12,6876,8138,15375
4,470,220,7325,7931,15946
5,382,783,7729,7783,16677
6,84,372,8033,8787,17276
7,1053,1194,7651,8163,18061
8,704,1155,8189,8266,18314
9,369,60,7878,7646,15953
10,19,160,7446,7862,15487
11,664,227,8057,8152,17100
12,184,66,6971,7086,14307
13,222,429,8089,7580,16320
14,352,154,7720,8151,16377
15,91,5,7134,8581,15811
16,80,267,7679,7614,15640
17,595,693,7313,7740,16341
18,141,119,7968,7799,16027
19,4,59,9191,7758,17012
20,366,506,7270,7563,15705
21,61,173,8012,8450,16696
22,8,39,7853,7224,15124
23,2,3,7478,7002,14485
24,254,20,6752,7684,14710
25,678,116,7767,8517,17078
26,628,1163,8404,8327,18522
27,146,674,7050,8241,16111
28,967,590,8746,8444,18747
29,61,108,8015,7587,15771
30,160,0,7000,8126,15286
31,101,76,8174,7410,15761
32,431,372,6887,8429,16119
33,170,365,7545,6981,15061
34,1461,1126,7434,8465,18486
36,851,176,7409,8815,17251
37,467,647,8325,9038,18477
38,1,7,7496,7989,15493
39,197,313,7303,7768,15581
41,893,1058,8819,8642,19412
42,66,20,7164,7713,14963
43,5,150,8070,7467,15692
44,227,753,7634,7952,16566
45,196,0,6826,8080,15102
46,630,89,7095,8599,16413
47,469,69,7676,8248,16462
48,1138,1038,7869,8314,18359
49,261,766,8406,7825,17258
50,124,202,7602,7633,15561
52,50,106,8318,7559,16033
53,17,1,6205,8099,14322
54,297,84,6819,8030,15230
55,21,3,7554,7294,14872
56,259,55,7504,8369,16187
57,129,44,7515,7990,15678
58,811,450,8595,8319,18175
59,441,492,8185,8824,17942
60,17,144,7268,7499,14928
61,13,130,7630,7963,15736
62,1,5,6869,8351,15226
64,431,360,7528,8857,17176
65,255,12,6863,7927,15057
66,12,46,8231,7656,15945
67,567,1094,8491,7769,17921
68,371,14,7336,8389,16110
69,351,249,8664,7892,17156
70,160,496,7723,8930,17309
71,936,933,7703,8263,17835
72,1271,908,8053,8677,18909
73,131,40,7497,7636,15304
75,138,39,7704,7963,15844
76,231,5,7289,8263,15788
77,346,415,8223,8289,17273
78,2,75,7756,6817,14650
79,173,68,7323,8549,16113
80,118,242,7156,7179,14695
81,215,798,8753,8861,18627
82,1018,460,8516,8638,18632
83,523,591,8748,8639,18501
84,83,173,8273,7979,16508
85,1211,126,7661,9158,18156
86,295,290,6668,7000,14253
87,11,12,7189,7350,14562
88,5,155,8301,7097,15558
89,875,839,7677,8079,17470
90,842,718,8680,8832,19072
91,392,1016,8701,7663,17772
92,12,77,7708,8556,16353
93,95,405,7942,6696,15138
94,839,12,7928,8979,17758
95,84,5,7104,7748,14941
96,79,91,7913,8927,17010
97,594,495,6477,7165,14731
99,481,37,7818,7318,15654
